chr	start	end	compartment	satellite	gene	Rloop_pos	RAD51_pos	RPA1A_pos	gH2AX_pos
Chr2	323000	324000	rDNA	0	0	1	0	0	0
Chr2	324000	325000	rDNA	0	0	0	0	0	0
Chr2	325000	326000	rDNA	0	0	0	0	1	0
Chr2	326000	327000	rDNA	0	0	0	0	0	0
Chr2	327000	328000	rDNA	0	0	0	1	1	1
Chr2	329000	330000	rDNA	0	0	0	0	0	0
Chr2	331000	332000	rDNA	0	0	0	0	0	0
Chr2	333000	334000	rDNA	0	0	0	0	0	0
Chr2	334000	335000	rDNA	0	0	0	1	1	0
Chr2	336000	337000	rDNA	0	0	0	0	0	0
Chr2	337000	338000	rDNA	0	0	1	0	0	0
Chr2	339000	340000	rDNA	0	0	0	1	1	0
Chr2	343000	344000	rDNA	0	0	0	1	1	0
Chr2	344000	345000	rDNA	0	0	0	0	0	0
Chr2	345000	346000	rDNA	0	0	0	1	1	0
Chr2	346000	347000	rDNA	0	0	0	0	1	1
Chr2	347000	348000	rDNA	0	0	0	0	0	1
Chr2	348000	349000	rDNA	0	0	0	1	0	0
Chr2	349000	350000	rDNA	0	0	0	0	0	0
Chr2	350000	351000	rDNA	0	0	0	0	0	0
Chr2	352000	353000	rDNA	0	0	0	0	0	0
Chr2	353000	354000	rDNA	0	0	0	0	0	0
Chr2	354000	355000	rDNA	0	0	0	1	1	1
Chr2	355000	356000	rDNA	0	0	0	0	0	0
Chr2	356000	357000	rDNA	0	0	0	0	0	0
Chr2	357000	358000	rDNA	0	0	0	0	1	0
Chr2	358000	359000	rDNA	0	0	0	0	0	0
Chr2	359000	360000	rDNA	0	0	1	0	0	0
Chr2	361000	362000	rDNA	0	0	0	0	0	0
Chr2	362000	363000	rDNA	0	0	0	0	0	1
Chr2	363000	364000	rDNA	0	0	0	1	0	1
Chr2	365000	366000	rDNA	0	0	0	0	1	1
Chr2	367000	368000	rDNA	0	0	1	1	0	0
Chr2	368000	369000	rDNA	0	0	0	1	1	0
Chr2	369000	370000	rDNA	0	0	0	0	0	0
Chr2	371000	372000	rDNA	0	0	1	0	0	0
Chr2	372000	373000	rDNA	0	0	0	1	1	1
Chr2	373000	374000	rDNA	0	0	0	1	1	0
Chr2	375000	376000	rDNA	0	0	0	0	0	1
Chr2	377000	378000	rDNA	0	0	0	0	0	0
Chr2	378000	379000	rDNA	0	0	0	0	0	0
Chr2	379000	380000	rDNA	0	0	0	0	0	0
Chr2	380000	381000	rDNA	0	0	0	1	0	0
Chr2	382000	383000	rDNA	0	0	0	0	0	1
Chr2	383000	384000	rDNA	0	0	0	1	0	0
Chr2	384000	385000	rDNA	0	0	0	0	0	1
Chr2	385000	386000	rDNA	0	0	0	0	0	0
Chr2	388000	389000	rDNA	0	0	0	0	0	0
Chr2	389000	390000	rDNA	0	0	0	0	0	0
Chr2	390000	391000	rDNA	0	0	0	0	1	1
Chr2	391000	392000	rDNA	0	0	1	1	0	0
Chr2	392000	393000	rDNA	0	0	1	0	0	0
Chr2	393000	394000	rDNA	0	0	0	0	1	0
Chr2	394000	395000	rDNA	0	0	0	0	1	0
Chr2	395000	396000	rDNA	0	0	0	0	0	1
Chr2	396000	397000	rDNA	0	0	0	0	1	0
Chr2	397000	398000	rDNA	0	0	0	0	0	0
Chr2	398000	399000	rDNA	0	0	0	1	1	0
Chr2	400000	401000	rDNA	0	0	1	0	0	0
Chr2	401000	402000	rDNA	0	0	1	0	0	0
Chr2	402000	403000	rDNA	0	0	0	0	1	1
Chr2	403000	404000	rDNA	0	0	0	0	1	0
Chr2	405000	406000	rDNA	0	0	0	1	1	0
Chr2	407000	408000	rDNA	0	0	0	0	0	0
Chr2	408000	409000	rDNA	0	0	0	0	1	0
Chr2	414000	415000	rDNA	0	0	0	0	0	0
Chr2	415000	416000	rDNA	0	0	0	0	0	0
Chr2	417000	418000	rDNA	0	0	0	1	1	0
Chr2	421000	422000	rDNA	0	0	0	0	0	0
Chr2	422000	423000	rDNA	0	0	0	0	1	0
Chr2	423000	424000	rDNA	0	0	0	0	0	1
Chr2	424000	425000	rDNA	0	0	0	0	0	0
Chr2	425000	426000	rDNA	0	0	0	1	0	1
Chr2	426000	427000	rDNA	0	0	0	0	0	0
Chr2	427000	428000	rDNA	0	0	0	1	1	0
Chr2	428000	429000	rDNA	0	0	0	1	1	1
Chr2	430000	431000	rDNA	0	0	0	0	1	0
Chr2	431000	432000	rDNA	0	0	0	0	0	1
Chr2	432000	433000	rDNA	0	0	0	0	0	0
Chr2	433000	434000	rDNA	0	0	0	0	0	1
Chr2	434000	435000	rDNA	0	0	0	0	0	0
Chr2	436000	437000	rDNA	0	0	0	0	0	0
Chr2	437000	438000	rDNA	0	0	0	0	0	0
Chr2	438000	439000	rDNA	0	0	0	0	0	0
Chr2	440000	441000	rDNA	0	0	0	0	0	0
Chr2	441000	442000	rDNA	0	0	0	0	0	0
Chr2	442000	443000	rDNA	0	0	0	0	0	0
Chr2	443000	444000	rDNA	0	0	0	0	0	0
Chr2	444000	445000	rDNA	0	0	1	0	0	0
Chr2	446000	447000	rDNA	0	0	0	0	0	0
Chr2	447000	448000	rDNA	0	0	0	0	0	0
Chr2	448000	449000	rDNA	0	0	0	0	0	0
Chr2	454000	455000	rDNA	0	0	0	0	0	0
Chr2	455000	456000	rDNA	0	0	0	1	0	0
Chr2	456000	457000	rDNA	0	0	0	1	1	0
Chr2	458000	459000	rDNA	0	0	0	1	1	0
Chr2	459000	460000	rDNA	0	0	1	0	1	1
Chr2	460000	461000	rDNA	0	0	0	1	1	1
Chr2	461000	462000	rDNA	0	0	0	0	0	0
Chr2	463000	464000	rDNA	0	0	0	0	0	0
Chr2	465000	466000	rDNA	0	0	0	0	0	0
Chr2	466000	467000	rDNA	0	0	0	1	1	0
Chr2	468000	469000	rDNA	0	0	1	0	0	0
Chr2	469000	470000	rDNA	0	0	1	0	0	0
Chr2	470000	471000	rDNA	0	0	0	0	0	0
Chr2	471000	472000	rDNA	0	0	0	0	0	0
Chr2	473000	474000	rDNA	0	0	0	0	0	0
Chr2	475000	476000	rDNA	0	0	0	0	0	0
Chr2	476000	477000	rDNA	0	0	0	0	0	0
Chr2	477000	478000	rDNA	0	0	0	1	1	0
Chr2	478000	479000	rDNA	0	0	1	0	0	1
Chr2	479000	480000	rDNA	0	0	1	1	1	0
Chr2	480000	481000	rDNA	0	0	0	0	0	0
Chr2	481000	482000	rDNA	0	0	0	0	0	1
Chr2	482000	483000	rDNA	0	0	0	0	1	0
Chr2	483000	484000	rDNA	0	0	0	1	1	0
Chr2	484000	485000	rDNA	0	0	0	1	0	0
Chr2	485000	486000	rDNA	0	0	1	1	1	0
Chr2	486000	487000	rDNA	0	0	0	0	1	0
Chr2	487000	488000	rDNA	0	0	0	1	1	0
Chr2	489000	490000	rDNA	0	0	1	1	1	0
Chr2	490000	491000	rDNA	0	0	1	0	0	0
Chr2	491000	492000	rDNA	0	0	0	0	0	0
Chr2	492000	493000	rDNA	0	0	0	0	0	1
Chr2	493000	494000	rDNA	0	0	0	0	0	0
Chr2	494000	495000	rDNA	0	0	0	0	0	0
Chr2	496000	497000	rDNA	0	0	1	0	0	0
Chr2	497000	498000	rDNA	0	0	0	0	1	0
Chr2	499000	500000	rDNA	0	0	1	0	0	0
Chr2	500000	501000	rDNA	0	0	1	0	0	0
Chr2	501000	502000	rDNA	0	0	0	1	0	1
Chr2	502000	503000	rDNA	0	0	0	0	0	0
Chr2	503000	504000	rDNA	0	0	0	1	0	0
Chr2	504000	505000	rDNA	0	0	0	1	1	0
Chr2	505000	506000	rDNA	0	0	0	0	0	0
Chr2	506000	507000	rDNA	0	0	0	0	0	0
Chr2	508000	509000	rDNA	0	0	1	0	0	1
Chr2	510000	511000	rDNA	0	0	0	0	0	0
Chr2	511000	512000	rDNA	0	0	0	1	0	0
Chr2	512000	513000	rDNA	0	0	0	0	0	0
Chr2	513000	514000	rDNA	0	0	0	1	0	1
Chr2	516000	517000	rDNA	0	0	0	0	0	0
Chr2	517000	518000	rDNA	0	0	0	0	0	0
Chr2	521000	522000	rDNA	0	0	0	0	1	0
Chr2	522000	523000	rDNA	0	0	0	0	0	0
Chr2	523000	524000	rDNA	0	0	0	1	0	0
Chr2	524000	525000	rDNA	0	0	0	0	0	0
Chr2	525000	526000	rDNA	0	0	0	0	0	1
Chr2	526000	527000	rDNA	0	0	0	1	0	0
Chr2	527000	528000	rDNA	0	0	1	0	0	0
Chr2	528000	529000	rDNA	0	0	0	0	1	0
Chr2	529000	530000	rDNA	0	0	0	0	0	1
Chr2	530000	531000	rDNA	0	0	0	0	0	0
Chr2	531000	532000	rDNA	0	0	0	1	1	0
Chr2	533000	534000	rDNA	0	0	1	0	0	1
Chr2	535000	536000	rDNA	0	0	0	1	1	0
Chr2	536000	537000	rDNA	0	0	0	0	0	0
Chr2	537000	538000	rDNA	0	0	0	1	1	0
Chr2	539000	540000	rDNA	0	0	1	0	0	0
Chr2	540000	541000	rDNA	0	0	0	1	1	0
Chr2	541000	542000	rDNA	0	0	0	0	0	1
Chr2	543000	544000	rDNA	0	0	0	0	0	0
Chr2	544000	545000	rDNA	0	0	0	1	1	0
Chr2	545000	546000	rDNA	0	0	0	0	0	0
Chr2	547000	548000	rDNA	0	0	1	0	1	0
Chr2	548000	549000	rDNA	0	0	1	1	1	0
Chr2	549000	550000	rDNA	0	0	0	1	0	1
Chr2	550000	551000	rDNA	0	0	0	0	0	0
Chr2	552000	553000	rDNA	0	0	0	1	1	0
Chr2	553000	554000	rDNA	0	0	0	0	0	1
Chr2	554000	555000	rDNA	0	0	0	1	1	0
Chr2	555000	556000	rDNA	0	0	0	0	0	0
Chr2	557000	558000	rDNA	0	0	1	0	0	0
Chr2	558000	559000	rDNA	0	0	1	1	1	0
Chr2	559000	560000	rDNA	0	0	0	1	1	0
Chr2	560000	561000	rDNA	0	0	0	1	1	0
Chr2	561000	562000	rDNA	0	0	0	0	0	0
Chr2	562000	563000	rDNA	0	0	0	0	1	1
Chr2	563000	564000	rDNA	0	0	1	0	0	0
Chr2	564000	565000	rDNA	0	0	1	1	0	0
Chr2	565000	566000	rDNA	0	0	0	0	0	0
Chr2	566000	567000	rDNA	0	0	1	0	0	0
Chr2	567000	568000	rDNA	0	0	0	0	0	1
Chr2	569000	570000	rDNA	0	0	0	0	0	0
Chr2	571000	572000	rDNA	0	0	0	1	1	0
Chr2	572000	573000	rDNA	0	0	0	0	0	0
Chr2	574000	575000	rDNA	0	0	0	1	1	0
Chr2	576000	577000	rDNA	0	0	0	0	0	0
Chr2	578000	579000	rDNA	0	0	0	0	0	1
Chr2	579000	580000	rDNA	0	0	0	0	0	0
Chr2	580000	581000	rDNA	0	0	0	1	0	0
Chr2	581000	582000	rDNA	0	0	0	1	0	1
Chr2	582000	583000	rDNA	0	0	0	0	0	0
Chr2	584000	585000	rDNA	0	0	1	0	0	0
Chr2	585000	586000	rDNA	0	0	0	0	0	0
Chr2	586000	587000	rDNA	0	0	1	1	1	0
Chr2	587000	588000	rDNA	0	0	1	0	0	0
Chr2	588000	589000	rDNA	0	0	1	0	0	0
Chr2	589000	590000	rDNA	0	0	0	1	1	0
Chr2	590000	591000	rDNA	0	0	0	0	0	0
Chr2	591000	592000	rDNA	0	0	0	0	0	0
Chr2	592000	593000	rDNA	0	0	0	0	0	0
Chr2	593000	594000	rDNA	0	0	0	0	0	0
Chr2	595000	596000	rDNA	0	0	1	0	0	0
Chr2	596000	597000	rDNA	0	0	0	0	1	0
Chr2	597000	598000	rDNA	0	0	0	0	0	0
Chr2	598000	599000	rDNA	0	0	1	0	0	1
Chr2	599000	600000	rDNA	0	0	1	0	0	0
Chr2	600000	601000	rDNA	0	0	0	1	0	0
Chr2	601000	602000	rDNA	0	0	0	0	0	0
Chr2	602000	603000	rDNA	0	0	0	0	0	0
Chr2	603000	604000	rDNA	0	0	1	0	0	0
Chr2	605000	606000	rDNA	0	0	0	0	0	0
