chr,start,end,b,fold,padj,cat
Chr2,26000,27000,6738,169.830148090606,0,45S rDNA
Chr2,27000,28000,3585,74.5842313643322,0,45S rDNA
Chr2,28000,29000,6367,168.264264514665,0,45S rDNA
Chr2,29000,30000,4874,100.461690136888,0,45S rDNA
Chr2,30000,31000,38613,772.88528536222,0,45S rDNA
Chr2,31000,32000,2782,31.6806619499943,0,45S rDNA
Chr2,32000,33000,2347,19.5268262872874,0,45S rDNA
Chr2,33000,34000,2753,18.9994836193762,0,45S rDNA
Chr2,34000,35000,618,9.40051033431683,0,45S rDNA
Chr2,35000,36000,1540,31.8125194312954,0,45S rDNA
Chr2,37000,38000,184,4.60608468560268,2.50312163317648e-60,45S rDNA
Chr2,38000,39000,306,6.7398429480091,3.27110989096133e-141,45S rDNA
Chr2,39000,40000,711,17.9500125940152,0,45S rDNA
Chr2,40000,41000,204,5.54267512392198,6.16436509802511e-80,45S rDNA
Chr2,41000,42000,291,6.74564614633184,2.0174876933029e-134,45S rDNA
Chr2,42000,43000,804,12.6289579048268,0,45S rDNA
Chr2,43000,44000,399,3.46598627072322,5.4208659938189e-93,45S rDNA
Chr2,44000,45000,611,11.7005502877213,0,45S rDNA
Chr2,45000,46000,2230,39.2587399395491,0,45S rDNA
Chr2,46000,47000,174,3.27783040078585,4.8930646022851e-38,45S rDNA
Chr2,47000,48000,241,5.08818080664548,4.96108885485218e-87,45S rDNA
Chr2,49000,50000,476,13.4031135280982,0,45S rDNA
Chr2,50000,51000,222,5.11330385301192,1.30086717078706e-80,45S rDNA
Chr2,51000,52000,270,6.51651978256874,2.39909732134991e-121,45S rDNA
Chr2,52000,53000,553,7.81448306251618,4.50720439701848e-285,45S rDNA
Chr2,53000,54000,190,3.08352578521084,5.22426104166466e-38,45S rDNA
Chr2,55000,56000,1161,22.1439990343975,0,45S rDNA
Chr2,56000,57000,237,4.40596774292074,6.37814804326333e-74,45S rDNA
Chr2,57000,58000,405,8.95535646063746,4.26489049417996e-230,45S rDNA
Chr2,58000,59000,219,5.31348617630163,1.75093387575026e-82,45S rDNA
Chr2,59000,60000,496,11.8893889562128,0,45S rDNA
Chr2,60000,61000,327,7.22423789696711,2.81362811563624e-159,45S rDNA
Chr2,61000,62000,330,8.45598998194583,2.23349869056094e-180,45S rDNA
Chr2,62000,63000,863,13.6666903290325,0,45S rDNA
Chr2,63000,64000,244,4.13101737045603,7.37915001757755e-71,45S rDNA
Chr2,65000,66000,4926,106.592617669815,0,45S rDNA
Chr2,66000,67000,840,13.5555097416968,0,45S rDNA
Chr2,67000,68000,509,11.19073162285,0,45S rDNA
Chr2,68000,69000,222,4.09064308240954,7.97017930014528e-64,45S rDNA
Chr2,69000,70000,413,9.33748313332763,2.72247949928934e-241,45S rDNA
Chr2,70000,71000,475,9.97335450612506,1.5057999001932e-289,45S rDNA
Chr2,71000,72000,430,10.002538385697,1.08485376526721e-262,45S rDNA
Chr2,72000,73000,347,7.71033109876001,1.88368349619077e-177,45S rDNA
Chr2,73000,74000,837,7.33087094010254,0,45S rDNA
Chr2,74000,75000,875,16.5495250605702,0,45S rDNA
Chr2,75000,76000,1382,23.5071470676344,0,45S rDNA
Chr2,77000,78000,294,6.46770824124188,3.0257037522799e-131,45S rDNA
Chr2,78000,79000,579,7.76324816521871,5.40376010759772e-297,45S rDNA
Chr2,79000,80000,925,22.2513452940721,0,45S rDNA
Chr2,80000,81000,330,7.63246877644902,1.54969195562102e-167,45S rDNA
Chr2,81000,82000,131,3.02287435715785,1.14528922568558e-25,45S rDNA
Chr2,82000,83000,875,10.3876140160185,0,45S rDNA
Chr2,84000,85000,2414,31.9412810459443,0,45S rDNA
Chr2,85000,86000,615,12.1412297464238,0,45S rDNA
Chr2,86000,87000,205,4.44050891203622,1.3815014631125e-64,45S rDNA
Chr2,87000,88000,203,4.51667033582391,3.97414595596847e-65,45S rDNA
Chr2,88000,89000,239,5.87780487209196,1.5415943702605e-98,45S rDNA
Chr2,89000,90000,359,9.07481146797155,6.79544482637638e-206,45S rDNA
Chr2,90000,91000,263,5.78478552123474,7.6234865671206e-107,45S rDNA
Chr2,91000,92000,167,4.04350593242094,1.42972866167216e-47,45S rDNA
Chr2,92000,93000,760,8.87839511862546,0,45S rDNA
Chr2,93000,94000,1876,34.3041415363379,0,45S rDNA
Chr2,94000,95000,1312,21.4534228909026,0,45S rDNA
Chr2,95000,96000,203,4.59765820258426,2.38226245356304e-66,45S rDNA
Chr2,96000,97000,348,6.59350638041956,1.17084196664234e-157,45S rDNA
Chr2,97000,98000,276,5.90686230259888,3.69598813757851e-114,45S rDNA
Chr2,98000,99000,447,10.9797288617123,2.15946195262138e-289,45S rDNA
Chr2,99000,100000,264,5.12541890837415,6.23381979688716e-96,45S rDNA
Chr2,100000,101000,237,5.59427773666373,1.59443990700323e-93,45S rDNA
Chr2,101000,102000,714,11.0266676265798,0,45S rDNA
Chr2,103000,104000,1169,12.5163035332009,0,45S rDNA
Chr2,104000,105000,1208,23.3586688947414,0,45S rDNA
Chr2,106000,107000,189,4.97837933260777,5.46898719931694e-67,45S rDNA
Chr2,107000,108000,320,7.29084215775428,5.51980359626307e-157,45S rDNA
Chr2,108000,109000,544,12.1239976698561,0,45S rDNA
Chr2,109000,110000,445,9.94195694114885,9.03023195775435e-271,45S rDNA
Chr2,110000,111000,556,12.9840539711682,0,45S rDNA
Chr2,111000,112000,743,11.0250565427334,0,45S rDNA
Chr2,113000,114000,370,4.1638408366479,5.47470593083196e-108,45S rDNA
Chr2,114000,115000,2598,53.6653647481188,0,45S rDNA
Chr2,115000,116000,189,3.66773344811568,8.19061231997518e-48,45S rDNA
Chr2,116000,117000,269,5.91286008207423,2.20803160482043e-111,45S rDNA
Chr2,118000,119000,400,8.98622987715128,8.50481464796637e-228,45S rDNA
Chr2,119000,120000,327,7.75342498043655,5.83034231508061e-168,45S rDNA
Chr2,120000,121000,238,6.58304346399406,5.98510827553184e-108,45S rDNA
Chr2,121000,122000,584,9.47855288393523,0,45S rDNA
Chr2,123000,124000,2595,45.3931069665479,0,45S rDNA
Chr2,124000,125000,233,4.30343269966429,7.44808252972818e-71,45S rDNA
Chr2,125000,126000,373,9.73348988407102,5.07478786428739e-224,45S rDNA
Chr2,126000,127000,176,3.90032615918782,4.93531524529611e-48,45S rDNA
Chr2,127000,128000,346,9.35005483309065,1.81588735993659e-202,45S rDNA
Chr2,128000,129000,417,10.329648728176,5.04853378180317e-260,45S rDNA
Chr2,129000,130000,261,5.89028450868306,9.82573629738415e-108,45S rDNA
Chr2,130000,131000,401,6.64330253788814,1.21571399622934e-182,45S rDNA
Chr2,131000,132000,333,5.81485003363013,1.12022602612885e-135,45S rDNA
Chr2,133000,134000,3216,66.4413117902975,0,45S rDNA
Chr2,134000,135000,313,5.39734851490593,2.85625509273984e-119,45S rDNA
Chr2,135000,136000,408,9.29053722716541,1.38715714673848e-237,45S rDNA
Chr2,136000,137000,210,3.8372120169646,4.6221977360441e-56,45S rDNA
Chr2,137000,138000,426,10.612336059354,3.93356599031933e-270,45S rDNA
Chr2,138000,139000,536,11.8428711309252,0,45S rDNA
Chr2,139000,140000,678,16.7545435904025,0,45S rDNA
Chr2,140000,141000,590,10.6620175688581,0,45S rDNA
Chr2,141000,142000,463,9.43013496000767,3.62264486946677e-272,45S rDNA
Chr2,142000,143000,267,3.82045711251695,1.10067859372576e-70,45S rDNA
Chr2,144000,145000,4235,74.9849949755106,0,45S rDNA
Chr2,145000,146000,316,5.85207179729749,1.60898253888346e-129,45S rDNA
Chr2,146000,147000,498,11.8331945285195,0,45S rDNA
Chr2,147000,148000,314,6.00242702443745,1.40680421835506e-131,45S rDNA
Chr2,148000,149000,812,19.6927920929103,0,45S rDNA
Chr2,149000,150000,382,8.15973882213637,1.8292629689585e-203,45S rDNA
Chr2,150000,151000,279,6.22875375704354,9.35628036308232e-121,45S rDNA
Chr2,151000,152000,359,5.0429769033353,4.02260050769597e-128,45S rDNA
Chr2,153000,154000,350,6.6436606718929,1.55244820004917e-159,45S rDNA
Chr2,154000,155000,1231,28.9513801686748,0,45S rDNA
Chr2,155000,156000,228,4.70311152476772,3.48967548017464e-76,45S rDNA
Chr2,156000,157000,454,8.82615011356721,2.75242855795179e-255,45S rDNA
Chr2,157000,158000,323,7.03265208774482,4.2091213407304e-154,45S rDNA
Chr2,158000,159000,569,12.5803335494431,0,45S rDNA
Chr2,159000,160000,444,10.351656478486,3.56392710977192e-277,45S rDNA
Chr2,160000,161000,613,14.6939423995131,0,45S rDNA
Chr2,161000,162000,610,10.7427164861107,0,45S rDNA
Chr2,163000,164000,536,7.4223244210488,6.14961396539557e-266,45S rDNA
Chr2,164000,165000,2418,40.5807997938773,0,45S rDNA
Chr2,166000,167000,732,12.8703149534034,0,45S rDNA
Chr2,168000,169000,401,8.60045953389139,1.34067479470507e-221,45S rDNA
Chr2,169000,170000,346,7.78750772691985,3.03327800183053e-178,45S rDNA
Chr2,170000,171000,277,6.78111339918522,1.56167696934932e-128,45S rDNA
Chr2,171000,172000,646,11.4985971899202,0,45S rDNA
Chr2,173000,174000,2043,39.7562813387265,0,45S rDNA
Chr2,174000,175000,165,3.22717124506363,2.46829511930125e-35,45S rDNA
Chr2,175000,176000,205,5.55213793553771,1.89434022622581e-80,45S rDNA
Chr2,176000,177000,315,6.97490684021556,2.42206334322212e-149,45S rDNA
Chr2,177000,178000,370,9.27092972264907,3.10477344557676e-215,45S rDNA
Chr2,178000,179000,392,9.49478819178863,1.31970783178385e-231,45S rDNA
Chr2,179000,180000,271,5.98871169107382,1.88201120244211e-113,45S rDNA
Chr2,180000,181000,425,7.34099795281681,2.70915995581562e-209,45S rDNA
Chr2,181000,182000,356,6.00108625602727,4.89905835845501e-149,45S rDNA
Chr2,183000,184000,1378,27.6528154273097,0,45S rDNA
Chr2,185000,186000,138,3.53094404816034,1.82181371442007e-33,45S rDNA
Chr2,186000,187000,179,3.80123600410814,2.33368991358029e-47,45S rDNA
Chr2,187000,188000,380,9.47111710833762,3.57188729680448e-224,45S rDNA
Chr2,188000,189000,403,9.38810722095187,2.57460814219544e-236,45S rDNA
Chr2,189000,190000,302,6.43818492177898,2.75313445246937e-134,45S rDNA
Chr2,190000,191000,487,8.67153100390532,1.79541608802799e-270,45S rDNA
Chr2,191000,192000,366,5.85441999108851,6.2287980882679e-150,45S rDNA
Chr2,193000,194000,3167,55.1602623366806,0,45S rDNA
Chr2,194000,195000,1177,21.07294914743,0,45S rDNA
Chr2,195000,196000,257,5.02337378579693,1.3106554295548e-91,45S rDNA
Chr2,196000,197000,434,8.99085828766592,3.60219474279538e-247,45S rDNA
Chr2,197000,198000,644,14.7728522435836,0,45S rDNA
Chr2,198000,199000,928,24.0766444782663,0,45S rDNA
Chr2,199000,200000,412,9.23405666686153,6.22177112348594e-239,45S rDNA
Chr2,200000,201000,321,6.98568748400049,2.35595845705536e-152,45S rDNA
Chr2,201000,202000,1143,12.4310544559318,0,45S rDNA
Chr2,203000,204000,5004,97.2442877357234,0,45S rDNA
Chr2,204000,205000,409,7.39246199341975,1.61276876936241e-202,45S rDNA
Chr2,205000,206000,836,18.5481072732297,0,45S rDNA
Chr2,206000,207000,517,5.91978140116543,1.76087170270839e-213,45S rDNA
Chr2,207000,208000,662,16.299803639852,0,45S rDNA
Chr2,208000,209000,211,4.59833619253777,6.05480906869411e-69,45S rDNA
Chr2,209000,210000,180,4.20543288570488,1.53583998412904e-53,45S rDNA
Chr2,210000,211000,680,9.585448958662,0,45S rDNA
Chr2,212000,213000,1105,19.8620197169618,0,45S rDNA
Chr2,213000,214000,1926,40.4350872540242,0,45S rDNA
Chr2,214000,215000,209,4.1156948305707,1.48733642966111e-60,45S rDNA
Chr2,215000,216000,278,5.73036266125224,5.98279571527866e-112,45S rDNA
Chr2,216000,217000,271,6.24586813622095,1.37717825319242e-117,45S rDNA
Chr2,217000,218000,786,19.058771578297,0,45S rDNA
Chr2,218000,219000,282,7.19334334241125,5.04599450193502e-137,45S rDNA
Chr2,219000,220000,229,5.26333171144122,1.89096388139282e-85,45S rDNA
Chr2,220000,221000,757,9.41234608196858,0,45S rDNA
Chr2,222000,223000,1353,24.0380941463962,0,45S rDNA
Chr2,226000,227000,133,3.59749535370569,4.68939036918696e-33,45S rDNA
Chr2,228000,229000,227,4.60724320100949,2.92499696931648e-74,45S rDNA
Chr2,229000,230000,538,8.0611203274381,1.05677811659423e-283,45S rDNA
Chr2,230000,231000,258,3.95468248755078,3.35014075135537e-71,45S rDNA
Chr2,232000,233000,3409,65.6712544524288,0,45S rDNA
Chr2,233000,234000,285,5.28530972437974,1.44544009367382e-106,45S rDNA
Chr2,234000,235000,449,9.59294424258441,5.9952418283185e-267,45S rDNA
Chr2,235000,236000,294,6.20519517678791,8.53903890063958e-127,45S rDNA
Chr2,236000,237000,974,22.3095609730357,0,45S rDNA
Chr2,237000,238000,817,17.8906216649004,0,45S rDNA
Chr2,238000,239000,572,13.8370621310819,0,45S rDNA
Chr2,239000,240000,626,9.8565814011888,0,45S rDNA
Chr2,240000,241000,338,3.7701348569489,7.88519037343945e-88,45S rDNA
Chr2,242000,243000,2773,56.0994401467254,0,45S rDNA
Chr2,243000,244000,285,5.37062887138003,3.56132675578777e-108,45S rDNA
Chr2,244000,245000,298,6.8019822967648,1.49163530252762e-138,45S rDNA
Chr2,246000,247000,283,5.99419775621988,1.56173898384349e-118,45S rDNA
Chr2,247000,248000,381,8.8293726289614,1.95967073910506e-214,45S rDNA
Chr2,248000,249000,242,4.74105846637551,1.77465153116461e-81,45S rDNA
Chr2,249000,250000,412,8.94757402795906,6.38606295051345e-234,45S rDNA
Chr2,250000,251000,418,4.30685895833839,1.4551666153253e-126,45S rDNA
Chr2,251000,252000,1635,30.6130670200215,0,45S rDNA
Chr2,252000,253000,300,4.83307239580552,8.59998876640527e-103,45S rDNA
Chr2,253000,254000,170,4.22944385595244,6.27600635130936e-51,45S rDNA
Chr2,255000,256000,333,8.53286261814533,3.67715377423806e-183,45S rDNA
Chr2,256000,257000,411,9.32861053317442,5.62591867581412e-240,45S rDNA
Chr2,257000,258000,299,7.22689710175053,9.39018260105179e-146,45S rDNA
Chr2,258000,259000,173,3.69537910007746,3.05442202717748e-44,45S rDNA
Chr2,259000,260000,579,8.92149157076604,0,45S rDNA
Chr2,261000,262000,1337,26.7549635050883,0,45S rDNA
Chr2,262000,263000,279,4.9773970162438,1.7233702021944e-98,45S rDNA
Chr2,263000,264000,303,7.38644707084346,3.59668659610236e-150,45S rDNA
Chr2,265000,266000,645,14.6033666864294,0,45S rDNA
Chr2,266000,267000,848,18.6265038791481,0,45S rDNA
Chr2,267000,268000,398,8.69446053930738,1.31513537373158e-221,45S rDNA
Chr2,268000,269000,258,5.64288064345886,1.55401163157168e-102,45S rDNA
Chr2,269000,270000,893,8.23531061798777,0,45S rDNA
Chr2,270000,271000,533,7.60540603760994,2.43677563995709e-269,45S rDNA
Chr2,271000,272000,966,17.8326511695541,0,45S rDNA
Chr2,272000,273000,372,8.79800737409536,7.03328251964989e-209,45S rDNA
Chr2,273000,274000,784,13.1192196254144,0,45S rDNA
Chr2,278000,279000,850,11.8648543520479,0,45S rDNA
Chr2,280000,281000,417,7.29565857040274,2.10560497355389e-204,45S rDNA
Chr2,281000,282000,3890,71.4646165566434,0,45S rDNA
Chr2,282000,283000,245,4.40122772439482,2.66163822946913e-76,45S rDNA
Chr2,283000,284000,458,8.82804618928585,1.44785582866884e-257,45S rDNA
Chr2,284000,285000,386,8.40937591664132,5.05584383524086e-210,45S rDNA
Chr2,285000,286000,1062,22.1542660149912,0,45S rDNA
Chr2,286000,287000,566,13.0313742031603,0,45S rDNA
Chr2,287000,288000,369,8.60256495081112,5.09961182005043e-204,45S rDNA
Chr2,288000,289000,1001,14.1662015936422,0,45S rDNA
Chr2,290000,291000,4956,94.418894965732,0,45S rDNA
Chr2,291000,292000,553,8.89536307152482,1.11263690335434e-308,45S rDNA
Chr2,292000,293000,835,19.6715278902227,0,45S rDNA
Chr2,293000,294000,290,3.31810664231572,6.0468928103374e-64,45S rDNA
Chr2,294000,295000,384,8.401918693795,8.27455746838137e-209,45S rDNA
Chr2,295000,296000,281,7.49890072701134,6.36848371860066e-141,45S rDNA
Chr2,296000,297000,230,5.64260190446472,1.72035279748555e-91,45S rDNA
Chr2,297000,298000,657,10.4823632093767,0,45S rDNA
Chr2,299000,300000,2705,56.0984436534371,0,45S rDNA
Chr2,300000,301000,255,4.81890712320879,3.0777492631019e-87,45S rDNA
Chr2,301000,302000,308,6.86088527551376,3.70515881767821e-144,45S rDNA
Chr2,302000,303000,190,4.33461045938818,2.21080793440174e-58,45S rDNA
Chr2,303000,304000,340,8.37150035883638,1.64673465027755e-184,45S rDNA
Chr2,304000,305000,363,9.05191688383097,7.97083608305908e-208,45S rDNA
Chr2,305000,306000,260,5.81917405339875,3.45309573807279e-106,45S rDNA
Chr2,306000,307000,369,7.0246304868626,9.16859079140354e-176,45S rDNA
Chr2,307000,308000,760,13.1791681546508,0,45S rDNA
Chr2,309000,310000,4627,82.2896428877434,0,45S rDNA
Chr2,310000,311000,486,7.95406964018261,6.670842999124e-254,45S rDNA
Chr2,311000,312000,877,18.7923714763874,0,45S rDNA
Chr2,312000,313000,202,4.10212483774083,2.47446578763589e-58,45S rDNA
Chr2,313000,314000,332,8.31305780335112,2.65053282442991e-179,45S rDNA
Chr2,314000,315000,401,8.98852259073047,2.10148675306655e-228,45S rDNA
Chr2,315000,316000,290,6.70112776707287,2.97117774039017e-133,45S rDNA
Chr2,316000,317000,592,11.0404811899717,0,45S rDNA
Chr2,317000,318000,340,6.41249829653307,1.40112216182366e-150,45S rDNA
Chr2,319000,320000,3212,48.6439520426927,0,45S rDNA
Chr2,320000,321000,1187,22.2425811545599,0,45S rDNA
Chr2,321000,322000,239,5.24968682442971,6.26163461582879e-89,45S rDNA
Chr2,322000,323000,448,8.48779048511987,3.31886676075919e-245,45S rDNA
Chr2,323000,324000,604,13.9094713522577,0,45S rDNA
Chr2,324000,325000,920,22.3445118725631,0,45S rDNA
Chr2,325000,326000,428,9.30615722821069,1.82793372188681e-249,45S rDNA
Chr2,326000,327000,278,6.42717793722644,1.64927545012938e-123,45S rDNA
Chr2,327000,328000,1072,11.1645690388923,0,45S rDNA
Chr2,329000,330000,2261,41.7926924224629,0,45S rDNA
Chr2,330000,331000,159,3.13694141918875,9.87736662101482e-33,45S rDNA
Chr2,331000,332000,256,6.14934357575733,1.13316129823327e-109,45S rDNA
Chr2,333000,334000,402,8.10730245673262,4.36815170994954e-213,45S rDNA
Chr2,334000,335000,313,7.78763639570718,2.48843174714798e-161,45S rDNA
Chr2,335000,336000,220,5.09184198296283,1.43110562795541e-79,45S rDNA
Chr2,336000,337000,625,11.2382100365763,0,45S rDNA
Chr2,337000,338000,259,3.01143014425044,9.63764394484697e-50,45S rDNA
Chr2,339000,340000,2783,61.4121884134197,0,45S rDNA
Chr2,340000,341000,207,3.76042897847157,6.21339597239052e-54,45S rDNA
Chr2,341000,342000,203,4.07489844906438,3.56197383166194e-58,45S rDNA
Chr2,343000,344000,345,8.19283307776247,2.26223002109224e-184,45S rDNA
Chr2,344000,345000,340,7.18971950543423,5.78183019791622e-165,45S rDNA
Chr2,345000,346000,263,5.41559452962495,1.15818463164562e-100,45S rDNA
Chr2,346000,347000,505,9.33838214401422,7.31518954294175e-295,45S rDNA
Chr2,347000,348000,294,3.31294170767578,1.12080725922489e-64,45S rDNA
Chr2,348000,349000,2743,53.7358971207718,0,45S rDNA
Chr2,349000,350000,261,4.07142853954554,1.71036784584035e-74,45S rDNA
Chr2,350000,351000,374,7.81011122973489,5.27176214117402e-193,45S rDNA
Chr2,351000,352000,168,3.54209159824107,9.51252050525289e-41,45S rDNA
Chr2,352000,353000,319,7.50772092768016,5.27339751119948e-160,45S rDNA
Chr2,353000,354000,358,8.25432510163067,2.6329526415599e-192,45S rDNA
Chr2,354000,355000,287,6.61044236853343,1.91967808492883e-130,45S rDNA
Chr2,355000,356000,414,9.82848513156549,4.09321598360398e-250,45S rDNA
Chr2,356000,357000,443,5.31408803210903,5.18708360668355e-166,45S rDNA
Chr2,357000,358000,2919,60.3147432292115,0,45S rDNA
Chr2,358000,359000,526,9.15268659585043,5.32925979398396e-303,45S rDNA
Chr2,359000,360000,363,7.51300679229164,4.78701724089089e-182,45S rDNA
Chr2,360000,361000,184,3.79803714538689,1.30692196378056e-48,45S rDNA
Chr2,361000,362000,350,8.23053845145409,1.21210153286099e-187,45S rDNA
Chr2,362000,363000,421,9.73830489851194,8.11362024280831e-253,45S rDNA
Chr2,363000,364000,329,7.64999393264427,2.57391364052187e-167,45S rDNA
Chr2,364000,365000,181,3.90164806099389,2.1396198797123e-49,45S rDNA
Chr2,365000,366000,681,8.97459374020161,0,45S rDNA
Chr2,367000,368000,4495,64.6392651986604,0,45S rDNA
Chr2,368000,369000,1049,17.3836491474619,0,45S rDNA
Chr2,369000,370000,342,8.13268480288036,8.09320883037568e-182,45S rDNA
Chr2,370000,371000,191,4.22432347052989,4.76583136016582e-57,45S rDNA
Chr2,371000,372000,376,11.0157225868471,4.74249332846012e-244,45S rDNA
Chr2,372000,373000,401,9.86737825947753,6.60897513121777e-243,45S rDNA
Chr2,373000,374000,389,10.1689059075018,3.09013932688606e-240,45S rDNA
Chr2,374000,375000,195,4.38595482875395,1.14949500686029e-60,45S rDNA
Chr2,375000,376000,792,11.8187208817429,0,45S rDNA
Chr2,376000,377000,184,3.45289049754956,4.21577595970583e-43,45S rDNA
Chr2,377000,378000,586,8.36792822832327,1.11253693065816e-308,45S rDNA
Chr2,378000,379000,4975,90.6819133387381,0,45S rDNA
Chr2,379000,380000,467,8.99632614528725,5.25008415322248e-266,45S rDNA
Chr2,380000,381000,824,18.4629459824825,0,45S rDNA
Chr2,381000,382000,212,4.50560694284754,8.35182109660073e-68,45S rDNA
Chr2,382000,383000,523,11.8794678604414,0,45S rDNA
Chr2,383000,384000,341,8.24005689638795,5.42971744103472e-183,45S rDNA
Chr2,384000,385000,333,7.53259766516801,2.12054023758134e-167,45S rDNA
Chr2,385000,386000,953,13.8874314036053,0,45S rDNA
Chr2,386000,387000,171,3.44411837804073,5.63227785856415e-40,45S rDNA
Chr2,388000,389000,973,19.693324138497,0,45S rDNA
Chr2,389000,390000,538,10.1087432430844,0,45S rDNA
Chr2,390000,391000,871,21.5212483666317,0,45S rDNA
Chr2,391000,392000,244,4.48199655065992,1.74598802384867e-77,45S rDNA
Chr2,392000,393000,715,17.3466320584152,0,45S rDNA
Chr2,393000,394000,934,24.4333776205142,0,45S rDNA
Chr2,394000,395000,383,9.40711005758173,6.26212817432717e-225,45S rDNA
Chr2,395000,396000,440,8.32873505462648,1.15922646338814e-237,45S rDNA
Chr2,396000,397000,751,6.40393894818824,0,45S rDNA
Chr2,397000,398000,520,7.78792024053142,1.90698258928516e-267,45S rDNA
Chr2,398000,399000,878,16.1835224115235,0,45S rDNA
Chr2,400000,401000,237,4.54917225537041,1.77941521705261e-76,45S rDNA
Chr2,401000,402000,244,3.61953767083895,1.75006221070759e-60,45S rDNA
Chr2,402000,403000,639,13.177015822372,0,45S rDNA
Chr2,403000,404000,453,10.2372154758595,8.40997649979637e-281,45S rDNA
Chr2,404000,405000,191,4.28011820631705,7.01947853470957e-58,45S rDNA
Chr2,405000,406000,685,10.1426187914929,0,45S rDNA
Chr2,407000,408000,737,12.5168689397103,0,45S rDNA
Chr2,408000,409000,2171,40.9167780116633,0,45S rDNA
Chr2,410000,411000,125,3.0531624607391,6.91038792827902e-25,45S rDNA
Chr2,412000,413000,165,3.53108763917385,7.11986224310687e-40,45S rDNA
Chr2,414000,415000,251,6.33638411043082,2.75428824052986e-110,45S rDNA
Chr2,415000,416000,767,10.8966016269921,0,45S rDNA
Chr2,417000,418000,1745,30.4592559124543,0,45S rDNA
Chr2,419000,420000,144,3.42388165297911,1.61828698422231e-33,45S rDNA
Chr2,420000,421000,160,3.60683650716062,9.47705889766e-40,45S rDNA
Chr2,421000,422000,367,8.50739565533947,2.36079096571713e-201,45S rDNA
Chr2,422000,423000,317,7.44751794092121,4.77352705906102e-158,45S rDNA
Chr2,423000,424000,251,5.65281446512983,6.23183665533381e-100,45S rDNA
Chr2,424000,425000,613,10.0182699527129,0,45S rDNA
Chr2,425000,426000,274,3.6043984146074,1.85269301053857e-67,45S rDNA
Chr2,426000,427000,5486,102.544979342837,0,45S rDNA
Chr2,427000,428000,654,11.9327489309302,0,45S rDNA
Chr2,428000,429000,351,9.84875838476944,1.80976272105667e-212,45S rDNA
Chr2,429000,430000,193,4.16547865383654,9.6353991486056e-57,45S rDNA
Chr2,430000,431000,372,9.07016592640571,3.02359756403096e-213,45S rDNA
Chr2,431000,432000,396,9.28173970318226,1.77558805417664e-230,45S rDNA
